date,division,game_nr,home,away,home_timediff,away_timediff,home_nr,away_nr,team1_home_pred
2025-11-27,6,1,Angola,Kazakhstan,50,50,1,34,0
2025-11-27,6,2,Brazil,Cuba,50,50,8,14,0
2025-11-27,6,3,Romania,Croatia,4,4,46,13,0
2025-11-27,6,4,Switzerland,Iran,5,50,55,30,0
2025-11-27,6,5,Denmark,Japan,5,50,17,33,0
2025-11-27,6,6,Hungary,Senegal,50,5,27,48,0
2025-11-27,6,7,Norway,South Korea,50,50,42,52,0
2025-11-27,6,8,Sweden,Czech Republic,5,4,54,15,0
2025-11-28,6,9,Austria,Egypt,5,50,3,18,0
2025-11-28,6,10,Paraguay,Montenegro,2,2,43,39,0
2025-11-28,6,11,Germany,Uruguay,2,2,23,59,1
2025-11-28,6,12,Poland,China,5,50,44,11,0
2025-11-28,6,13,Netherlands,Argentina,50,50,40,2,0
2025-11-28,6,14,Serbia,Iceland,2,2,49,28,0
2025-11-28,6,15,Spain,Faroe Islands,2,2,53,20,0
2025-11-28,6,16,France,Tunisia,50,50,22,56,0
2025-11-29,6,17,Angola,South Korea,2,2,1,52,0
2025-11-29,6,18,Brazil,Czech Republic,2,2,8,15,0
2025-11-29,6,19,Romania,Japan,2,2,46,33,0
2025-11-29,6,20,Switzerland,Senegal,2,2,55,48,0
2025-11-29,6,21,Croatia,Denmark,2,2,13,17,0
2025-11-29,6,22,Cuba,Sweden,2,2,14,54,0
2025-11-29,6,23,Iran,Hungary,2,2,30,27,0
2025-11-29,6,24,Kazakhstan,Norway,2,2,34,42,0
2025-11-30,6,25,Faroe Islands,Paraguay,2,2,20,43,0
2025-11-30,6,26,Iceland,Uruguay,2,2,28,59,0
2025-11-30,6,27,Poland,Tunisia,2,2,44,56,0
2025-11-30,6,28,Austria,Argentina,2,2,3,2,0
2025-11-30,6,29,China,France,2,2,11,22,0
2025-11-30,6,30,Germany,Serbia,2,2,23,49,1
2025-11-30,6,31,Montenegro,Spain,2,2,39,53,0
2025-11-30,6,32,Egypt,Netherlands,2,2,18,40,0
2025-12-01,6,33,Czech Republic,Cuba,2,2,15,14,0
2025-12-01,6,34,Japan,Croatia,2,2,33,13,0
2025-12-01,6,35,Senegal,Iran,2,2,48,30,0
2025-12-01,6,36,South Korea,Kazakhstan,2,2,52,34,0
2025-12-01,6,37,Denmark,Romania,2,2,17,46,0
2025-12-01,6,38,Hungary,Switzerland,2,2,27,55,0
2025-12-01,6,39,Norway,Angola,2,2,42,1,0
2025-12-01,6,40,Sweden,Brazil,2,2,54,8,0
2025-12-02,6,41,Argentina,Egypt,2,2,2,18,0
2025-12-02,6,42,Tunisia,China,2,2,56,11,0
2025-12-02,6,43,Netherlands,Austria,2,2,40,3,0
2025-12-02,6,44,France,Poland,2,2,22,44,0
